,Runtime,Precision,Recall,Constraint
0,0.131,-1,-1,Avicenna requires at least one failure-inducing input!
1,0.126,-1,-1,Avicenna requires at least one failure-inducing input!
2,0.127,-1,-1,Avicenna requires at least one failure-inducing input!
3,0.131,-1,-1,Avicenna requires at least one failure-inducing input!
4,0.132,-1,-1,Avicenna requires at least one failure-inducing input!
5,0.128,-1,-1,Avicenna requires at least one failure-inducing input!
6,0.249,-1,-1,Avicenna requires at least one failure-inducing input!
7,0.133,-1,-1,Avicenna requires at least one failure-inducing input!
8,0.136,-1,-1,Avicenna requires at least one failure-inducing input!
9,0.136,-1,-1,Avicenna requires at least one failure-inducing input!
