,Runtime,Precision,Recall,Constraint
0,0.244,-1,-1,Avicenna requires at least one failure-inducing input!
1,0.133,-1,-1,Avicenna requires at least one failure-inducing input!
2,0.137,-1,-1,Avicenna requires at least one failure-inducing input!
3,0.133,-1,-1,Avicenna requires at least one failure-inducing input!
4,0.136,-1,-1,Avicenna requires at least one failure-inducing input!
5,0.131,-1,-1,Avicenna requires at least one failure-inducing input!
6,0.13,-1,-1,Avicenna requires at least one failure-inducing input!
7,0.134,-1,-1,Avicenna requires at least one failure-inducing input!
8,0.132,-1,-1,Avicenna requires at least one failure-inducing input!
9,0.131,-1,-1,Avicenna requires at least one failure-inducing input!
