,Runtime,Precision,Recall,Constraint
0,0.129,-1,-1,Avicenna requires at least one failure-inducing input!
1,0.129,-1,-1,Avicenna requires at least one failure-inducing input!
2,0.146,-1,-1,Avicenna requires at least one failure-inducing input!
3,0.132,-1,-1,Avicenna requires at least one failure-inducing input!
4,0.131,-1,-1,Avicenna requires at least one failure-inducing input!
5,0.13,-1,-1,Avicenna requires at least one failure-inducing input!
6,0.131,-1,-1,Avicenna requires at least one failure-inducing input!
7,0.128,-1,-1,Avicenna requires at least one failure-inducing input!
8,0.129,-1,-1,Avicenna requires at least one failure-inducing input!
9,0.128,-1,-1,Avicenna requires at least one failure-inducing input!
