,Runtime,Precision,Recall,Constraint
0,0.127,-1,-1,Avicenna requires at least one failure-inducing input!
1,0.128,-1,-1,Avicenna requires at least one failure-inducing input!
2,0.135,-1,-1,Avicenna requires at least one failure-inducing input!
3,0.135,-1,-1,Avicenna requires at least one failure-inducing input!
4,0.133,-1,-1,Avicenna requires at least one failure-inducing input!
5,0.14,-1,-1,Avicenna requires at least one failure-inducing input!
6,0.131,-1,-1,Avicenna requires at least one failure-inducing input!
7,0.13,-1,-1,Avicenna requires at least one failure-inducing input!
8,0.24,-1,-1,Avicenna requires at least one failure-inducing input!
9,0.133,-1,-1,Avicenna requires at least one failure-inducing input!
